item_id,Filename,translation
Pod_16,Vinnytsia_017_Ladky-ladusi,"1. – How are you?  
Where have you been? – At grandmother’s.  
2. – What did you eat? – Porridge.  
– And what did you drink? – Brew.  
3. The porridge is soft,  
The brew is sweet,  
4. Grandmother is old,  
Lidusya is little."
Pod_17,"Vinnytsia_018_Idy, idy, doshchiku","1. Go, go, little rain,  
I will cook you some borscht.  
2. I will hang on the oak,  
I will call the pigeon.  
3. While the pigeon flies here,  
The borscht will boil."
Pod_18,Vinnytsia_019_Bila kvochka chubarochka,"1. The white hen with a crest  
Was walking around the yard,  
Leading behind her  
Twenty-three chicks.  
2. And when the bad hawk  
Was seen by the hen,  
She called all the chicks  
Close to herself.  
3. The chicks ran together,  
Hid under the hen,  
And quietly laughed  
At the bad hawk."
Pod_19,"Vinnytsia_020_Koliad, koliad, koliadnytsia","1. Carol, carol, caroling,  
A good honey flatbread,  
2. But without honey, not the same,  
Give me, uncle, a five-kopeck coin,  
3. And you, auntie, money,  
So that it is good."
Pod_20,"Vinnytsia_021_Koliad, koliad, koliadnytsia","1. Carol, carol, caroler,  
A good honeyed flatbread,  
2. But without honey, not the same,  
Give me, uncle, a coin,  
3. And you, aunt, money,  
You will be good."
Pod_21,Vinnytsia_022_Bihla telychka,"1. A little heifer ran  
From the birch grove  
Into the uncle's yard.  
Good evening!"
Pod_23,Vinnytsia_024_Shchadrik-vedrik,"1. Shadrik-vedrik,  
Bring a dumpling.  
2. A lump of porridge,  
A ring of sausage."
Pod_24,Vinnytsia_025_A Sus Khrystos narodyvsia,"1. And Jesus Christ was born,  
He took his place on the throne.  
2. And kiss Jesus Christ on the feet,  
And bring us, the children, pastries."
Pod_25,Vinnytsia_026_Na dvori bila khmara vietsia,"1. A white cloud is swirling outside,  
A caroler is shaking under the window,  
Let him into the house,  
And he will sing  
Carol songs.  

2. We let him into the house,  
He began to sing carols,  
When he saw the pies,  
He was overwhelmed with grief  
Forever.  

3. He ate seven, the eighth one was gone,  
Then he climbed up for the lard,  
But he didn’t get the lard,  
He fell down from the ladder,  
He got hurt.  

4. And he walks through the hallway, crying,  
Because he won’t see the door at night,  
Yosyp opened the door,  
Caught him by the hair  
And pulls him.  

5. – Yosyp, don’t beat me,  
I won’t walk around at night,  
Because from that carol  
Trouble comes,  
Forever."
Pod_26,Kmeln_001_Oi khodyt Son kolo vikon,"1. The Sleep walks by the windows,  
And the Drowsiness by the fence.  
2. Sleep asks Drowsiness:  
– Where will we spend the night?  
3. – Where the little warm house is,  
Where the little child is.  
4. There we will spend the night,  
Rocking the little child."
Pod_27,Kmeln_002_Oi khodyt Son kolo vikon,"1. Oh, Sleep walks by the windows,  
And Slumber by the fence.  
2. Sleep asks Slumber:  
– Where shall we spend the night?  
3. – Where the little warm house is,  
Where the little child is.  
4. There we will spend the night,  
Rocking the little child.  
5. Oh sleep, child, I rock you,  
When you fall asleep, I will leave you."
Pod_28,"Kmeln_003_Baiu, bai, baiu, bai","1. Lullaby, lullaby,
Give me a clapper.
2. Oh lullaby, lullaby,
I give a clapper."
Pod_29,"Kmeln_004_Liuli, liuli, liuliechky","1. Luli, luli, lulyechky,  
Painted garlands,  
2. And the lady's cradle,  
The noble child sleeps."
Pod_30,"Kmeln_007_Kit, kit, kotochok","1. Cat, cat, little cat  
Stole a ball of yarn from Slavko.  
2. Ran, ran under the forest,  
All the way to Valya carried it.  
3. Valya scolded the kitty:  
– Don’t learn, kitty, to steal,  
4. But learn to work,  
To sew little shoes,  
5. To carry them to the city,  
And sell them in the city,  
6. To earn money,  
To buy candies."
Pod_31,Kmeln_009_Pishla kytsia po vodytsiu,"1. The kitty went to fetch some water,  
I-nya-nya.  
2. The kitty went to rescue,  
I-nya-nya.  
3. Nowhere to be found is the kitty,  
I-nya-nya.  
4. The kitty took..."
Pod_32,"Kmeln_010_Oi spy, dytia, kolyshu tia","1. Oh sleep, child, I will rock you,  
And when you fall asleep, I will leave you.  
2. I will go to work myself,  
And I won’t come back until Saturday."
Pod_33,"Kmeln_011_Oi spy, dytia, kolyshu tia","1. Oh sleep, child, I lull you,  
And when you fall asleep, I will leave you.  
2. I will put you under the bench,  
I myself will go outside.  
3. And on the street a violin plays,  
My mother does not let me go.  
4. – Let me go, mother, let me go, mother,  
To walk outside."
Pod_34,"Kmeln_012_Oi spy, dytia, kolyshu tia","1. Oh sleep, child, I will rock you,  
But if you don't sleep, I will leave you.  
2. I will throw you under the bench,  
I myself will go out to the street.  
3. Let the mice squeak at you,  
Let the boys love me.  
4. The pipe plays on the street,  
My mother won't let me go.  
5. – Let me go, mother, for an hour,  
I will rock the child."
Pod_35,"Kmeln_015_Liuliu, liuli, liuliu","1. Lulyu, luli, lulyu,  
The woman went to get some onions,  
2. And the old man went for parsley  
To season Yulia’s soup.  
3. But the onions did not grow,  
The woman got lost in the thicket."
Pod_36,"Kmeln_016_Liuliu, liuliu, staryi huliu","(DS-KZ-08+DS-KD-01+DS-KZ-02)  
1. Lulyu, lulyu, old lullaby,  
Don’t go to the garden for onions.  
2. Because the onion is sleepy,  
And I am a little child.  

*       *       *  

1. Sleep walks near the windows,  
And Drowsiness walks near the fence.  
2. Sleep asks Drowsiness:  
– Where shall we spend the night?  
3. – Where the little warm hut is,  
Where the little child is.  
4. Oh, you will rock the cradle,  
And I will lull to sleep.  

*       *       *  

1. So sleep, child, I will rock you,  
Because if you fall asleep, I will leave you.  
2. I will lay you under the bench,  
Cover you with a chintz."
Pod_37,"Kmeln_017_Liuliu, liuliu, liulochky","1. Lulye, lulye, lullabies,  
Mother went to her daughter,  
2. And from the daughter to the son,  
There was a bitter visit."
Pod_38,"Kmeln_020_Tosi, tosi","1. Tosі, tosi,  
Pigs in the peas,  
Calves in the cabbage;  
2. I wish they  
Would perish,  
How fat they are."
Pod_39,"Kmeln_025_Kar, kar, vorona","1. Caw, caw, crow  
Was cooking porridge for the children,  
Cooling it on the doorstep:  
2. – Run, children, get some firewood,  
The porridge will be ready;  
3. Run, children, get some sticks,  
I'll give you some porridge in bits.  
4. I'll give this one, I'll give that one,  
But this one I'll twist the head, twist, twist!  
5. Hey, hey, they flew,  
And sat on the head!"
Pod_40,Kmeln_026_Siad sobi kolo mene,"Sit next to me,  
Stretch out your little legs,  
And I will kiss you,  
And you will hug me."
Pod_41,"Kmeln_027_Yide, yide pan, pan","1. A gentleman is riding, riding,  
On his little horse, alone, alone.  
2. |: Riding, riding, hop, hop,  
On his little horse, hop, hop. :|  
3. A Jew is riding, riding,  
On his little horse, hitz, hitz, hitz, hitz.  
4. And behind the Jew, Jewish girls  
Went around near the fence."
Pod_42,Kmeln_028_Ta y prosyla baranchyka vivtsia,"1. And the sheep asked the lamb:  
– Mow some hay for me, little lamb.  
2. But God knows what kind of winter it will be,  
Whether I will come out alive in the spring."
Pod_43,"Kmeln_029_Shcho ty, didu, robysh","1. – What are you doing, grandpa?  
– I am making a basket.  
2. – Why do you need the basket?  
– To collect ashes.  
3. – Why do you need the ashes?  
– To light the firewood.  
4. – Where is that firewood?  
– In the brick house.  
5. – Where is that house?  
– Overgrown with periwinkle.  
6. – Where is that periwinkle?  
– It saved the calf.  
7. – Where is that calf?  
– The pestle killed it.  
8. – Where is that pestle?  
– The tombstones wore it down.  
9. – Where are those tombstones?  
– The beetles ate them.  
10. – Where are those beetles?  
– At God's doorstep.  
Cock-a-doodle-doo!"
Pod_44,Kmeln_030_Stoliaryky-molodtsi,"1. The carpenters are great  
They make tables, chairs  
2. With a hammer on the chisel,  
Golden shavings fly.  
3. With saws, tick, tick,  
With hammers, knock, knock,  
We have golden hands for work."
Pod_45,"Kmeln_ballads_442_Vohdai, po tim botsi","1. Boyar, on that side,  
Boyar, at the gathering,  
The gypsies were standing,  
Yes, the gypsies were standing.  
2. Boyar, among them,  
Boyar, among the gypsies,  
A gypsy fortune-teller,  
Yes, a gypsy fortune-teller.  
3. Boyar, to that gypsy girl,  
Boyar, to the fortune-teller,  
There is a well-trodden path,  
[Yes, a well-trodden path.]  
4. Boyar, along that path,  
Boyar, along the road,  
A girl was walking,  
[Yes, a girl was walking.]  
5. Boyar, she, that  
Boyar, gypsy girl,  
Faithfully asked,  
[Yes, faithfully asked:]  
6. – Boyar, gypsy girl,  
Boyar, fortune-teller,  
Grant my wish,  
[Yes, grant my wish:]  
7. Boyar, enchant, enchant,  
Boyar, little Cossack,  
To be with me forever,  
[Yes, to be with me forever.]  
8. Boyar, on that side,  
Boyar, at the gathering,  
The magical herb swirls,  
[Yes, the magical herb swirls,]  
9. Boyar, above her, yes  
Boyar, the girl,  
Three Cossacks are fighting,  
[Yes, three Cossacks are fighting.]  
10. Boyar, one Cossack,  
Boyar, by the table,  
Writes tiny letters,  
[Yes, writes tiny letters,]  
11. Boyar, the second Cossack,  
Boyar, to the girl,  
Sprinkles coins,  
[Yes, sprinkles coins,]  
12. Boyar, the third Cossack,  
Boyar, by the threshold,  
Sheds tiny tears,  
[Yes, sheds tiny tears.]"
Pod_46,"Kmeln_ballads_444_Oi ziidy, ziidy","1. Oh rise, rise,  
Also the bright moon,  
Also the bright star.  
2. Also the bright star...  
Oh come, come,  
Bold young man,  
To visit me.  
3. To visit me...  
Oh drink, drink,  
Bold young man,  
At least a glass of wine.  
4. At least a glass of wine...  
– Oh drink, drink,  
Bold girl,  
At the forefront herself.  
5. At the forefront herself...  
Oh if only you,  
Young man,  
Had not cast spells on me.  
6. Had not cast spells on me...  
Oh if only you,  
Young man,  
Had not enchanted me.  
7. Oh early on Sunday,  
Very early in the morning,  
All the bells are ringing.  
8. All the bells are ringing...  
Oh now that,  
Young man,  
Is being carried to the grave.  
9. Is being carried to the grave...  
Oh behind him, behind him  
His own mother  
Is grieving.  
10. And the girl stands  
At the new gate,  
Smiling:  
11. – Oh if only you,  
Young Cossack,  
Did not love the three of us.  
12. And now you will,  
Young Cossack,  
Rot in the damp earth."
Pod_47,"Kmeln_ballads_444_v_Oi ziidy, ziidy","1. Oh rise, rise,  
Also the bright moon,  
Also the bright star.  
2. Also the bright star...  
Oh come, come,  
Bold young man,  
To visit me.  
3. To visit me...  
Oh drink, drink,  
Bold young man,  
At least a glass of wine.  
4. At least a glass of wine...  
– Oh drink, drink,  
Bold girl,  
Sitting in front.  
5. Sitting in front...  
Oh may you not,  
Young man,  
Cast spells on me.  
6. Cast spells on me...  
Oh may you not,  
Young man,  
Bewitch me.  
7. Oh early Sunday morning,  
Very early in the morning,  
All the bells are ringing.  
8. All the bells are ringing...  
Oh now that young man  
Is being carried to the grave.  
9. Being carried to the grave...  
Oh behind him, behind him,  
His own mother  
Is grieving.  
10. And the girl stands  
In new gates,  
Smiling:  
11. – Oh if only you,  
Young Cossack,  
Would not love the three of us.  
12. And now you will,  
Young Cossack,  
Rot in the damp earth."
Pod_48,Kmeln_ballads_445_Oi de zh zhe ty nochuvav,"1. – Oh, where did you spend the night,  
Son Vasylenko?  
– Oh, at the widow’s on pillows,  
Dear mother’s heart.*

2. – Oh, what did you have for dinner,  
Son Vasylenko?  
– Fish with stewed apples,  
Dear mother’s heart.

3. – Oh, where did she catch it,  
Son Vasylenko?  
– Under the willow tree, in a pile,  
Dear mother’s heart.

4. – With what did she clean it,  
Son Vasylenko?  
– With an axe by the threshold,  
Dear mother’s heart.

5. – In what did she cook it,  
Son Vasylenko?  
– In a little pot by the fire,  
Dear mother’s heart.

6. – Oh, did she eat it herself,  
Son Vasylenko?  
– Oh, she did not eat, she was weak,  
Dear mother’s heart.

7. – And did her children eat it,  
Son Vasylenko?  
– Oh, they did not eat, they wanted to sleep,  
Dear mother’s heart.

8. – And did her servants eat it,  
Son Vasylenko?  
– Oh, they did not eat because they did not want to,  
Dear mother’s heart.

9. – What kind of father do you need,  
Son Vasylenko?  
– Oh, a bearded man with a book,  
Dear mother’s heart.

10. – What kind of friends do you need,  
Son Vasylenko?  
– Two boys with horns,  
Dear mother’s heart.

11. – What kind of matchmakers do you need,  
Son Vasylenko?  
– Three women with candles,  
Dear mother’s heart.

12. – What kind of house do you need,  
Son Vasylenko?  
– Four boards and a little earth,  
Dear mother’s heart."
Pod_49,Kmeln_ballads_446_Oi chyie zh to pole,"1. Oh, whose field is that,  
So wide and long?  
Could it be that young Cossack,  
With the dark eyebrows?  

2. Oh, whose oxen are those  
Wandering through the field?  
Could it be that young Cossack,  
Who loves the three of us?  

3. The first one fell in love,  
Bought a little horse,  
The second fell in love,  
Bought a saddle.  

4. The second fell in love,  
Bought a saddle,  
And the third dark-haired girl  
Brought supper:  

5. – Supper is ready, Cossack,  
Do not be sad,  
If you have no wife at home,  
Love me.  

6. – Oh, I do have a wife  
And two little children,  
My heart aches deeply  
For both of them."
Pod_50,Kmeln_ballads_447_Oi chyie zh to voly,"1. Oh, whose oxen are those  
Walking by the grove?  
Could it be the young Cossack  
Who loved the three of us?  
  
2. The first loved him,  
The second adored him,  
And the third, the dark-haired one,  
Was preparing a spell.  
  
3. She prepared a spell –  
A gray quail –  
And placed it before the Cossack  
On a white plate.  
  
4. The Cossack sat down, having eaten  
The wings and the ribs, –  
His head began to ache,  
Burning near his heart.  
  
5. When his mother heard  
From the third room:  
– Oh, my son, where will you  
Find doctors?  
  
6. – They will not help, mother,  
Neither medicine nor doctors,  
Only a fathom of earth  
And four boards will help."
Pod_51,Kmeln_ballads_449_Oi na hori zhyto,"1. Oh, rye on the hill, (and)  
Rye in the valley,  
Under the white birch  
Lies a slain Cossack.  

2. Oh, killed and laid to rest,  
And wrapped in rye,  
Covered with black silk,  
His face covered with a Chinese cloth.  

3. Oh, a girl came  
And began to weep,  
Oh, another came,  
But she was not the same.  

4. Oh, another came,  
But she was not the same,  
She lifted the Chinese cloth  
And kissed him.  

5. – Oh, rise, Cossack,  
Rise, young one,  
Your black horse  
Wanders through the grove.  

6. – Oh, let him wander,  
Oh, let him roam,  
|: The hour will come  
When he will wake me. :|"
Pod_52,Kmeln_ballads_450_Oi u misti Rusalymi,"1. Oh, in the city of Jerusalem  
There was news:  
Hannusya bewitched  
A widow's son.  

2. But how could she have bewitched him –  
She called him into the house,  
Told me, the young man,  
To sit on the bench.  

3. Oh, I barely, young as I was,  
Managed to sit on the bench,  
When Hannusya gave me  
Three apples to eat.  

4. Oh, when I ate the three apples, –  
My heart began to ache,  
And when my mother found out, –  
She fainted from sorrow.  

5. – Give me, comrades,  
A down pillow,  
Pray, pray, and bring to me  
My dear Hannusya.  

6. Oh, when Hannusya came,  
She stood on the doorstep,  
Small tears  
Were streaming down Hannusya.  

7. – Don’t cry, don’t cry, Hannusya,  
There’s nothing to cry for,  
My son was bewitched  
By your own mother as well.  

8. – It wasn’t me who bewitched him,  
Nor was it my mother –  
It was the neighbor woman  
From the third house.  

9. – I have a little cherry tree –  
I can’t reach the top:  
Oh, who will love you,  
If I stop loving?  

10. – I have a little cherry tree  
Greening at the top.  
When you grow up – a second will come,  
I am still young."
Pod_53,Kmeln_ballads_451_Khodyt Ivan ponad Dunai,"1. Ivan walks over the Danube,  
Playing a pipe;  
Paraska draws water,  
Winks at Ivan:  
2. – Come, Ivan, dear Ivan,  
Come, my heart,  
Let's drink some vodka  
Good, with pepper.  
3. Ivan came to Paraska  
And stood on the doorstep,  
She gave him a glass to eat  
In a wheat pie.  
4. In one corner of the pie  
Is green rue,  
In the other corner of the pie  
Is a fierce serpent.  
5. Ivan came home,  
Bowed his head,  
His mother asks him:  
– Where have you been, son?  
6. – At Paraska's, my mother,  
In Paraska's house,  
She bewitched me, mother,  
Saying that I must die.  
7. His mother told him:  
– Go, son, plow.  
– Oh, I won't go, my mother,  
Because I must die.  
8. His mother told him:  
– Go, son, mow.  
– Oh, I won't go, my mother,  
Because I won’t live.  
9. Call, my mother,  
The young lads,  
Call, my mother,  
The young lads.  
10. The lads and young men came,  
Lifted their hats:  
– Oh, what do you need,  
Widower Ivan?  
11. – Oh, sit down, brothers,  
I’ll tell you –  
Which girl truly loves,  
Don’t go to her house.  
12. Oh, give me, my mother,  
A white pillow,  
Oh, carry me, brothers,  
Under the green pear tree.  
13. Call, my mother,  
Paraska dear.  
Paraska came,  
Stood on the doorstep.  
14. – Why don’t you come, Paraska,  
Closer, unkind one?  
See now, Paraska,  
You have bewitched my son?  
15. – I didn’t bewitch him,  
Nor is it my mother,  
It was the neighbor,  
From the third house."
Pod_54,Kmeln_ballads_452_Nastupaie chorna khmara,"1. A black cloud is coming,  
A blue one is coming,  
And the rich widow's daughter  
Has enchanted the son.  

2. And as she was to enchant him,  
She called him to the house:  
""Come, come, little Cossack,  
I have something to tell you.""  

3. And when he entered the house,  
He collapsed on the stack,  
They gave him a glass of rum,  
So the Cossack would drink.  

4. ""Drink, drink, little Cossack,  
This little glass of rum,  
And hurry up, little Cossack,  
Hurry home quickly.""  

5. And when he came home,  
He sat on the bench,  
His mother asks him:  
""Where have you been, my son?""  

6. ""I was, my dear mother,  
At the rich daughter’s place,  
Prepare, prepare for me, mother,  
A shirt for tomorrow.""  

7. ""Are you telling the truth, my son,  
Or are you joking like that,  
That you, my dear son,  
Need a shirt?""  

8. ""I’m not joking, mother,  
I’m only telling the truth,  
Because tomorrow very early  
I will lie on the bench.""  

9. Oh, the Cossack died, oh, the Cossack died,  
Lying on the bench,  
The rich daughter came,  
And stood at the doorstep.  

10. The rich daughter ordered  
To cut down a maple tree,  
To build a coffin  
For the young Cossack.  

11. They hew the maple, they hew the maple,  
They hew the maple wood,  
For the young Cossack  
They make a coffin.  

12. They hew the maple, they hew the maple,  
The splinters fly upward,  
For the young Cossack  
All the girls are crying.  

13. The girls cry, the girls cry,  
The young women cry...  
Whichever one you look at, –  
They are all enchantresses."
Pod_55,Kmeln_ballads_453_Oi vizmu ya,"1. Oh, I will take  
My entourage by the tails  
And I will go  
To the girl for a little while.  
2. Oh, I came  
To the new gates,  
I am drawn  
To the porch.  
3. [Oh, I approach  
The new porch,]  
Almost got  
Bitten by the dogs.  
4. Oh, I entered  
From the porch into the house:  
– Why didn’t you come out  
To chase the dogs away?  
5. – If I were to be bitten, –  
Let them bite me, –  
I have better  
Benches taken.  
6. Move aside,  
Curly-haired ones, on the bench,  
Let the old lovers  
Sit down.  
7. – Then, girlie, you loved me,  
When you took  
Gifts from me.  
8. – Give me, sister,  
The golden keys,  
Let me throw  
Those gifts to him.  
9. Give me, sister,  
The golden keys,  
Let me throw  
The gifts into his eyes."
Pod_56,Kmeln_ballads_454_Oi vidchyny,"1. – Oh, open the gate, Hanusya,  
I am eager to come to you.  
2. Oh, open the stable, Hanusya,  
Let me put my horse inside.  
3. – My father did not build the stable  
For you to put your horse inside,  
4. – Oh, open the hayloft, Hanusya.  
– I already have a better place than you there.  
5. – Oh, open the door, Hanusya,  
Let me see if it's better than me.  
6. I barely got through the threshold,  
They offer me a little chair to sit on.  
7. I barely sat on the little chair,  
They offer me a quail to eat.  
8. I did not finish eating  
Half a wing and some ribs,  
A heavy pain gripped me near the heart.  
9. Oh, like a Cossack,  
I drank water,  
Fell back into the hayloft.  
10. Fell back into the hayloft,  
And the girl laughs at the Cossack through the window.  
11. – Oh, don’t laugh, young girl, at me,  
I’ve already drunk your little glasses of spirits enough."
Pod_57,Kmeln_ballads_455_Oi orav ya,"1. Oh, I was plowing  
In the guelder-rose meadow  
And I broke  
A share of the plow.  
2. I do not know myself,  
What I should do,  
I do not know myself,  
What I should do.  
3. Whether to make a plowshare for the plow,  
Or to go to the girl  
For the whole night?  
4. Oh, I will change  
My clothes to rags  
And I will go  
To the girl a little.  
5. I came  
To her yard,  
The dogs almost  
Did not eat me.  
6. She came out  
To defend from the dogs  
And began  
To reproach me even more:  
7. – Buzz, buzz,  
Evil dogs,  
Drive away  
The unfaithful one from the house.  
8. Buzz, buzz,  
May they eat you,  
Because I have  
The elders sitting here.  
9. – Oh, open up,  
Girl, the door,  
Let me see  
If there is someone better than me."
Pod_58,Kmeln_ballads_456_Orav zhe ya,"1. |: I was gathering 
In the guelder-rose meadow, :|
2. |: The stick 
Broke in the meadow. :|
3. (and) I don’t even know 
What I should do, 
I don’t even know 
What I should do. 
4. Whether to look for sticks, 
Sticks to find, 
Or to take the plow on my shoulder, 
And go to the girl? 
5. |: I was driven 
By desire to her. :|
6. I arrived 
By the white walls, 
I was almost 
Eaten by dogs. 
7. The dear one came out, 
As if to shoo away, 
She started 
Even worse to harass: 
8. |: – Buzz, buzz, 
May they bite you. :|
9. I entered 
From the yard to the house, 
There, I have 
No place to set my foot. 
10. – Spread out, 
Curls, along the bench, 
Let him sit 
That unloved one on the bench. 
11. – Since you used to love 
To take gifts, 
Now love 
To receive the guest. 
12. – Oh, I have 
A pit beneath the threshold, 
There I laid 
Your gifts. 
13. |: Give me, mother, 
The golden keys, :|
14. |: Let me throw 
The gifts into the eyes. :|"
Pod_59,Kmeln_ballads_457_Oi horav ya,"1. Oh, I burned  
In the guelder-rose meadow*  
2. And I broke  
A shelf in the plow.  
3. Oh, I went  
To carve the shelf,  
4. I came  
Before the white doors,  
5. Almost got  
Eaten by dogs.  
6. The young ones call me  
Into the house,  
7. They tell me  
To sit on the bench.  
8. – Make room,  
Curly-haired ones, on the bench,  
9. Let me sit  
In place of the lover.  
10. They gave me  
A quail to eat.  
11. Oh, I devoured  
The wing and the rib.  
12. – Farewell now,  
My heart.  

*Note: ""Калиновий луг"" is a traditional poetic image referring to a meadow with guelder-rose (kalyna), a symbol often used in Ukrainian folklore."
Pod_60,Kmeln_ballads_458_Oi po hori Serbyn khodyt,"1. Oh, Serbin walks on the mountain,
Cutting barley with an axe.  
2. Cutting barley with an axe,
A girl carries food to him.  
3. – Oh Serbine-Serbinochku,
Matchmake me, girl.  
4. – I will not matchmake you,
Because you don’t know how to enchant.  
5. Enchant your dear brother –
You will have a beloved.  
6. – Oh, if I knew magic,
I would enchant him.  
7. – Oh, in the meadow, by the guelder-rose,
A snake hangs on the guelder-rose.  
8. The sun burns on it,
And sap flows from it.  
9. Hold out, dear, a jug, –
So that the sap flows in.  
10. The foolish girl listened,
And poured from the jug ...  
11. Her brother buys a gift in the city,
She prepares magic for him.  
12. Brother comes to her with palms –
She comes to brother with spells.  
13. – Oh brother, here is some beer,
I brewed it myself.  
14. I brewed it myself
And I drank it myself.  
15. Brother listened and got drunk
And just fell on the horse.  
16. – What is this, sister, for beer –
That made my heart wither?  
17. – Oh Serbine, Serbinochku,
Matchmake me, girl.  
18. – I will not matchmake you –
You have learned to enchant.  
19. You enchanted your brother –
You will enchant a young man.  
20. – What have I done, poor me,
That I have neither brother nor Serbin?.."
Pod_61,Kmeln_ballads_459_Nadletila zozulenka,"1. A little cuckoo flew over  
And said: – Cuckoo!  
The young women broke  
The loafer's arm.  
2. Oh, how they broke it,  
He told no one,  
He took his little arm under his armpit  
And went home.  
3. Oh, when he came home  
He sat on a bench,  
He leaned his little head  
On the plank table.  
4. – My dear old mother,  
My sweet mother,  
My right arm hurts, –  
So he spoke.  
5. – Let it hurt you,  
Let it not stop hurting,  
Let the other young women  
Not touch you.  
6. Oh, the little cuckoo flew  
Over the oak grove,  
Pecked the wheat,  
Left the chaff.  
7. – Oh, what good is chaff to me,  
When there is no grain?  
Oh, what good are other boys to me,  
When mine is not here?  
8. – Oh, what good is chaff to me,  
When there is no grain?  
Oh, what good are other girls to me,  
When mine are not here?"
