item_id,label,purpose,sub_purpose,download_link,translation
yanggu-0116,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/yanggu/yanggu-0116.mp3,"Don't go to the back alley with a broken front tooth.
The baby rabbit gets startled. Yangyang, Yangyang."
yeongil-0343,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/yeongil/yeongil-0343.mp3,"Let's go behind the old man's tree.  
If your back is bent, you can't go. If your back is bent, you can't go on the road.  
Weeding, your back,  
Your back is stiff.  
Stiff is black.  
If black, it's a crow.  
A crow is high.  
If high, a shaman.  
A shaman chants.  
If chanting, a captain.  
The captain carries straw.  
If carrying straw, a valley.  
If in the valley, a snake.  
A snake bites.  
If biting, a tiger.  
A tiger jumps.  
If jumping, a red quail.  
A red quail is red.  
If red, jujube.  
Jujube is sweet.  
If sweet, taffy.  
Taffy sticks.  
If sticky, a concubine / young ox.

"
yeongwol-0320,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/yeongwol/yeongwol-0320.mp3,"This lane, that lane, every lane  
Songsoo Main Street, Doman Main Street  
Jjakbaru White Wood"
jeongseon-1409,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/jeongseon/jeongseon-1409.mp3,"This street, that street, every street  
Jeondo mando domandoo  
Okdu okdu Jeollado  
Jeolla gamsooja clams  
Aryeong daryeong  
Hanging on an old field  
Jukdam Baekdam  
Ohyak ttung ttaeng  

»"
yeongwol-0201,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/yeongwol/yeongwol-0201.mp3,"This street, that street, every street  
Cheondu mandu, dumplings  
My home is worth twelve nyang  
When the black magpie flies away, twelve nyang!  
(repeat)  

»"
yecheon-0349,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/yecheon/yecheon-0349.mp3,"Heh heh, Mr. Jang,  
Where is your home?  
Over the ridge, beyond the hill,  
Under the pine trees,  
Is my house.

>"
jangheung-0524,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/jn/jangheung/jangheung-0524.mp3,"Pheasant Pheasant Mr. Jang  
Orangkkerong Gankkerong  
Standing at Jeong Jaemun  
A spoonful of rice  
There are many magnets  
Somehow, somehow, the mountain house  
A keg of beans at the son's house  
A keg of porridge at the daughter's house  
That guy lives this way and that way  
Pheasant pheasant hururu  

- Title: Pheasant Mr. Jang  
 >"
gimhae-0223,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gn/gimhae/gimhae-0223.mp3,"Surely, my body, once inseparable from you, has become almost without you.  
Oh my dear, oh my dear, I have no time even to look at my beloved husband who has suffered so much.  
Oh Naniya, oh Nuniya, flying wild goose, please deliver my message to my love.  
Play, play, play young and have fun; when we grow old, we may not be able to play.  
Too slow, too slow, the fast-moving procession is delayed in the middle of the journey.  
Oh Dodi, oh Dudi, I think of you intensely; your indifference has no equal.  
Lariya, Luriya, the mandarin ducks flying away, please deliver my message to my love.  
Luriya, Luriya, after riding the winds, let us wander all over Joseon.  
Mamiya, Memiyo, I have been drinking sweet rice wine, and naturally, I am reminded of you.  
Momiyo, Momiyo, I am suffering greatly; the beloved husband in Hanyang is causing me such pain.  
Babiya, Beobiyeo, while eating, thoughts of you choke my throat, making it impossible to eat.  
Bobiyo, Bubiyo, longing and yearning for the beloved husband in Hanyang, I keep yearning.  
Sasiya, Seosiya, the east wind fanned by the cold wind delays the middle of the journey.  
Sosiyo, Susiyo, after riding the winds, let us wander all over Joseon.  
Ariya, Eoiyo, sitting quietly, my love drops without any sign of emotion.  
Oiiyo, Uiiyo, leaving my love in the paulownia forest, I only go to find you.  
Jajiya, Jeojiya, even the beloved once often seen is nowhere to be found; I cannot see him.  
Joji-o, Juji-yu, although we used to live close, we have drifted apart without reason.  
Chaji-yo, Cheoji-yeo, even on the road, I cannot find my love; why are you so heartless?  
Chochiyo, Chuchiyu, the beloved who used to cherish me has left me alone."
cheongwon-0106,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/cb/cheongwon/cheongwon-0106.mp3,"This street, that street, God's street  
Angel's every matter, gut (ritual) street  
General's waist belt tightly wrapped  
House neat and clean, two-thirds of the money  

- Boeun Samsung's hometown  
>"
muju-0109,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/jb/muju/muju-0109.mp3,"This street, that street, each street  
Pearl silk, design plans, mismatched feet, declined  
In the cotton field, poison sound, midwinter twelfth month is loud sound  
Durome, the sword is jangdok/kopi  

>"
seonsan-0335,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/seonsan/seonsan-0335.mp3,"This street, that street, every street  
Cheongdo man or two men  
Eating suwari and having dapbukke  
Gyo-ri jomchi, danggokal  
Gasa, big gun  
Market hanger, carrying a market hanger"
seongju-0345,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/seongju/seongju-0345.mp3,"Ga-gya-geo-gyeo, thus was said: a life without limits,  
Without exception, it became so.  
Go-gyo-gu-gyu was said: our hard-suffering male servant,  
There is no match for rescuing him.  
Na-nya-neo-nyeo was said:  
Fixing a saddle on a donkey’s back,  
Shall we tour the eight provinces of Joseon?  
On the busy road of traveling in all seasons,  
The matchmaker is getting late.  
No-nyo-nu-ryu was said:  
Grasping the riding boots firmly,  
Let’s go play with the riding boots."
yecheon-0946,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/yecheon/yecheon-0946.mp3,"Hehe, Mr. Jang  
Where is your house?  
Over this hill and that hill,  
The pine needle field is my home.  
Go to your house,  
Won't even give me a single jujube.  
Come to my house,  
Will you be given a sip of cold water?"
gw.goseong-0310,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/gw.goseong/gw.goseong-0310.mp3,"This street, that street, weasel  
Cheondu mandu, goman du, jjakballe  
Hoeyangji, Doremitho, lion meat"
cheolwon-0421,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/cheolwon/cheolwon-0421.mp3,"Building a house with the consonants ㄱ ㄴ ㄱ, I lived tired and weary.  
Saying 가갸 거겨, my pitiful fate has become utterly hopeless.  
Saying 나냐 너녀, like a mandarin duck flying away.  
Saying 다쟈 더져, the moon is bright and cheerful.  
Saying 바뱌 버벼, I ate and looked back, but the beloved who was beside me is gone.  
Saying 사샤 서셔, don’t stand in the fields where you used to live, why would you do that?  
Saying 어야 어여, is it the shimmering of the red door curtain?  
Saying 자쟈 저져, the sparrows chirp softly, but there is no trace when I turn around.  
Saying 차챠 처쳐, sitting alone in the cold, cold room, thinking.  
When lying down, does sleep come? When sitting, does my beloved come?"
cheongwon-0611,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/cb/cheongwon/cheongwon-0611.mp3,"This street, that street, farmland  
Thousand heads, ten heads, small heads  
Jakbara, Saeyang River  
Okdu, Okdu, Jeolla heads  
Jeolla governor, Jogye-ya  
Hung a flag on the distant mountain, on the green mountain (said to have forgotten)"
mungyeong-0418,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/mungyeong/mungyeong-0418.mp3,"Starting with the letter ""ㄱ"" in the old script, building a house,
Bringing up parents and relatives,
Let's live for a thousand years.
Having learned the syllables 가 갸 나 거 겨,
My body without limbs,
Has become utterly destitute.
Having learned 고 교 나 구 규,
My hardworking husband,
Is unrivaled in diligence.
Having learned 나 냐 너 녀,
On Namgui mountain, brushing pine trees,
Will Joseon’s eight provinces thrive?
Having learned 노 뇨 누 뉴,
Let's live young, live young,
Once we grow old, can we not live?
Having learned 다 댜 더 뎌,
Upon seeing you once again,
The news is scant and lonely.
Having learned 도 됴 두 듀,
A heart hard and evil,
Shall I reveal it all?
Having learned 나 랴 너 려,
The phoenix flying,
Let’s pair you and me.
Having learned 노 료 누 류,
Black willow blossoms in the Lingering Fields,
Though every recommendation is present,
Having learned 마 먀 머 며,
After greeting each other,
Thoughts of my beloved arise anew.
Having learned 모 묘 누 뮤,
Everyone, everyone,
The men of Hanyang all know.
Having learned 바 뱌 버 벼,
Even while eating a meal,
I think of you.
My throat tightens, unable to eat.
Having learned 보 뵤 부 뷰,
Longing, longing,
I long to see the men of Hanyang.
Having learned 사 샤 서 셔,
On the busy path to Sashinahengcha,
The rest stop delays.
Having learned 소 쇼 수 슈,
The cold wind and withered maple leaves,
The heron cries as it departs.
If you go to Seoul, Hanyang,
Please send me word.
Having learned 아 야 어 여,
The hands tightly grasping a handful of sasswood,
Severed without mercy.
Having learned 오 요 우 유,
Black clouds in the middle of a paulownia tree,
With dawn's full moon outspread.
Having learned 자 쟈 나 저,
Having often met,
The secrets weigh heavy and lonely."
yeongyang-0301,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/yeongyang/yeongyang-0301.mp3,"At the hour of the rat, life is born and fire ignites; at the hour of the ox, there is gentle sorrow. The sky (heaven) is clear.

At the hour of the tiger, life is born on earth meeting the Five Elements, nurturing all things.

The mysterious and subtle black phoenix faces the black tortoise (Xuanwu).

Gunsan, Gak Chi-u, and the four directions east, west, south, and north are surrounded by yellow earth and colors of the fields.

Heaven's energy reaches tens of thousands of miles in all directions, flowing like fire, vast and expansive like a home.

The age of the palace is born, a good and auspicious time, the home of noble ones.

In Wu Chi, the yellow dawn heralds a millennium; workers and citizens gather, broad and great.

Through many generations and clouds, life is born; within the watery boundary, fire meets wood, eight kings reign, rough and yellow.

The sage kings Yao and Shun, their virtuous achievements are magnificent; auspicious days are taken up like flames rising daily.

Black birds are born from the heavens, signs and celebrations appear, wishing for long life and peace.

At the hour of the five elders, white and black coexist; years pass in cycles as decreed.

The sun shines brightly, making the day splendid; the middle course of nature is firm and strong.

The twenty-eight constellations' river map chart reveals the medium sky's achievements; this is the parting scene.

Like a piece of brocade, the moon is ruthless; the king of the moon lies rested.

An unmatched beauty, a good and prosperous fortune, only half the best is revealed, the nectar of the elite enlightens the field.

The moonlight shines on the marketplace; the cycle of the blue rat year orderly brings prosperity beyond expectations.

Wealth and honor are but dreams, dissolved like foam, one part seen, the other part vanishes.

Life is like flowing water; the years will surely come.

In the southern heavens, fire and water do not mix, causing heat and restlessness.

The diligent scholar with virtuous morality will endure for thousands of years to come.

The autumn wind is gentle, with fallen leaves from the paulownia tree in autumn.

When white hair arrives, youth is gathered under the full moon's cool light.

The falling leaves and the cold wind mark a single season; white snow covers the mountains in winter.

Oh, my longing and unyielding love, precious and deep in my heart, hidden away. / So Pal"
hwacheon-0106,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/hwacheon/hwacheon-0106.mp3,"Giyeok, Nieun, Jigeut, Rieul  
Building a house with the letter Giyeok, I lived tiredly and wearisomely  
Gagya geogyeo, with my body without rest, I have become restless  
Gogyo gugyu, my husband who struggled has no equal in relieving my worries  
Nanya neonyeo, mandarin ducks flying, let’s pair up, but without fate, we cannot  
Nonyo nunyu, deer rain boots are just one piece of clothing, yet they are found in every alley  
Rayaryo ryeoryeo, shall we groom the donkey’s back and travel across the eight provinces?  
Roryo ruryu, let’s live, let’s live; when we grow old after being young, we cannot play  
Mamya meomyeo, after being hit again and again, the thought of my dear returns to me  
Momyomu muyu, everyone gathers, everyone gathers, the man from Hanyang gathers  
Babyabeobyeo, even while eating rice, I cannot eat because my throat tightens thinking of you  
Bopyobu byu, I miss, I miss, the man from Hanyang I miss  
Sashaseosyeo, on a busy envoy’s journey, lunch arrives late  
Soshoyu syu, the little maple leaves cry in the cold wind along with the goose  
If you go to Hanyang Seoul, please send me news  
Aya eoye, the wrist I held tightly just now fell apart without mercy  
Oyo uyu, I miss my husband from long ago, I miss, I miss"
iksan-0218,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/jb/iksan/iksan-0218.mp3,"This street, that street, Gak Street  
A thousand characters, ten thousand characters, pocket strings tightly wound, a trader's knife  
Clicks, clacks, stout and strong, child, a celebration, a winning card  

- All mixed up  
>"
geumreung-0524,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/geumreung/geumreung-0524.mp3,"Hehe, Mr. Jang,
Where is your house?
Beyond one or two,
The Gudeokgi house is my home."
yanggu-0723,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/yanggu/yanggu-0723.mp3,"Grandpa, grandpa, let's go cut wood.  
My stomach hurts, I can't go.  
What stomach? Belly stomach.  
What belly? No belly.  
What no? Village.  
What village? Shrine village.  
What shrine? Grandma shrine.  
What grandma? Your grandma."
jecheon-0312,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/cb/jecheon/jecheon-0312.mp3,"- No place without pain

"
yanggu-0415,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/yanggu/yanggu-0415.mp3,"Oh my stomach hurts  
What stomach?  
A lying stomach  
What lying?  
Eup lying  
What eup?  
Cheonji eup  
What cheonji?  
Go Cheonji  
What go?  
Ground go  
What tang?  
Seonang tang  
What seonang?  
Tong Seonang  
What tong?  
Bean pulp tong  
What bean pulp?  
Soybean pulp  
What soybean?  
New soybean  
What new?  
Old woman new  
What old woman?  
You’re stuck to the old woman"
goesan-0410,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/cb/goesan/goesan-0410.mp3,"Remembering the consonants 'nieun,' 'digeut,' 'rieul,' I build a house with the memory characters  
Tired of walking, the fate cannot be stopped  
My body without beginning or end has become carefree  
Oh my husband who endured hardships, your care is unmatched  
Mandarin ducks flying, you and I, let us pair up  
Holding twisted slippers, we go to play at the Cheongpung Myeongwol Pavilion  
Mandarin ducks flying, you and I, let us pair up  
Twisted slippers are a local custom, found everywhere  
Just as soon as we met, my thoughts naturally wander to you  
Everyone, everyone, all are here, all are here, my husband from Hanyang is here  
Busy with daily affairs, I’m late even for a moment of rest  
The chill wind blows through the autumn maple, crying away there  
If you go to Seoul, Hanyang, please send my news  
Carrying the love secret in my heart, unjustly falling away without kindness  
Among the paulownias, with the new strings and the lute,  
The white cranes already guess it and dance in clusters  
Lately, my beloved I often met does not send news today either  
My fellow husband is also my husband, but not a single letter has come  
If only I had died, I wouldn’t have to see all these things  
Deeply asleep in the small hall, startled awake by the cranes’ cries  
Opening the door and looking out, I hear the crying of cranes over the fields  
Having crossed and crossed, having traveled month after month, for whom have I come here?  
The earthly spirits stirred, please help me see my beloved again  
Oh dear, oh dear, I see it all, I want to see my beloved's face  
Oh waterfall, if I had fallen into the flowing water’s depths and rapids,  
I wouldn’t have to see this kind of thing  
My husband from Hanyang, my husband, today sends no news again  
How fiercely the eating mind fades away in three days, can’t live thinking of the past years  
(Stop here for now.)  
While eating, my thoughts of you choke my throat and I sob  
Thinking and thinking, I long to see my husband from Hanyang  

"
daegu-0341,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/daegu/daegu-0341.mp3,"A branch missing a lower tooth  
An owl missing an upper tooth  
Don’t go to the flickering fire  
The little bird playing the flute will get startled  

»"
chilgok-0431,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/chilgok/chilgok-0431.mp3,"This street, that street, every street  
Seongju manggeon, dumanggeon  
One-legged crooked archery  
Packing dried squid  
Twelve nyang in the yeonjitong  
When to hold a grudge, when to loosen  
Three-line traveler, silver knot, flower knot  
Yeongnang geoji, eight commanders  
Godrae, ttongttaeng"
seonsan-0326,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/seonsan/seonsan-0326.mp3,"Hehe, Mr. Jang,
Where is your home?
Over these hills and mountains,
A pine grove is my home.
There is plenty to eat,
But because of the gunmen,
I cannot live."
goesan-0123,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/cb/goesan/goesan-0123.mp3,"This street, that street, God Street  
Cheondu mandu, dumplings  
Jjagbal yeot with Yangyang overdress or kimchi for the ritual ceremony"
samcheok-1015,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/samcheok/samcheok-1015.mp3,"The branch with the front tooth missing, the branch with the back tooth missing  
On the way to the back house, a fighting rooster kicked me  
And my front tooth fell out  
(repeat twice)"
cheolwon-1050,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/cheolwon/cheolwon-1050.mp3,"Gagya Geogyeo Without malfunction, my body has even become free of any obstruction  
Geogyeo Geogyeo  
(pause)"
okgu-0318,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/jb/okgu/okgu-0318.mp3,"At the hour of the Rat, life is born in heaven; the Breath is active like the hour of the Serpent.  
The clear sky is 'Heaven' (천).  
At the hour of the Ox, life is born, receiving the Five Elements,  
nurturing all things that grow.  
The mysterious black color of latent illnesses corresponds to the north and the Black Tortoise (현무).  
The palace shapes and colors correspond to the four directions: east, west, south, north; the center is earth-colored yellow.  
The distance of heaven and earth spans tens of thousands of li, with fire, earth, river, and flowers forming a home.  
The rise and fall of generations occur in the firm palace houses of kings.  
Laughing at the flood, the stars of the Rat appear, holding the map of the nine districts.  
The system of longevity corresponds to the jade bell class; the king is the rough yellow son.  
The sages Yao and Shun appear majestic, with earthly branches corresponding to the year, month, and day.  
The countless creatures move and breathe, governed by the observance of the year and month, the moon being the moon’s sign.  
The star Osiris is the guardian of the stomach gate, a bright star of the palace.  
Long spring days and steady nights require constant management and effort.  
The twenty-eight lunar mansions form the map of the heavens, centered on the red stars.  
The pitiful golden bells ring in the dormitory, and paired mandarin ducks are like well-crafted gold needles.  
The absolute beauty dwells in the right palace; elegant music and full formation spread, marking the star.  
The four months of planting and month of new life correspond to the east, south, and the field of stars.  
Wealth, honor, and fame are like a dream in the fields; giving up and resting is a well-arranged sign.  
A simple life—our life will eventually come to white hair.  
At the seasonal turning of spring, plants sprout; the sign for existence and warmth is set.  
The study hall upholds virtue and goodness; ten thousand years of peaceful hands.  
The golden flute plays; the chill cannot be fought in autumn’s pursuit.  
When white hair arrives, youth has already collected the dust of the wind.  
The cold wind blows from the river; the white snow covers the mountain winter.  
Longing without forgetting, our love is precious, building strength in body and mind.  
The lotus pond mix contains shrimps and clams, blending the lotus’s essence.  
The world’s beauty is visible day-to-day but difficult to fully encompass.  
By doing much good and accumulating merit, heaven’s work and all affairs will succeed.  
We labor like this, but once we die,  
time and years pass away.  
With a bright light, I cannot mistreat my wife; she is like the sun ruling the great order and the laws of the universe."
sangju-1323,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/sangju/sangju-1323.mp3,"This street, that street, every street corner  
One bean, two beans  
Turning and twisting, turning and twisting  
Korean kitchen knife, butcher's knife  

One bean, one red bean, a small dish of beef brisket  
Garakgu, Jukgu, Yeokgu, Sayang  
Olang, Chollang, Jindae, stick  
Cat, sweet soil, bellows, soot"
samcheok-1118,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/samcheok/samcheok-1118.mp3,"A branch with front teeth missing  
A net bird with back teeth missing  
On the way to the back of the head  
Caught on a pumpkin vine  
The barley pipe burst"
geumsan-1111,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/cn/geumsan/geumsan-1111.mp3,"This street, that street, each street  
Heaven officer, ten thousand matters, national street  
General's waist belt  
Tururu rolled up, long sword sheathed"
wonju-0112,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/wonju/wonju-0112.mp3,"This street, that street, every street  
Neighborhood wide-angle, wide-angle  
Shade and sunlight, graceful three-step, roe deer path, bang!"
cheolwon-1216,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/cheolwon/cheolwon-1216.mp3,"This street, that street, the street to go
Angel, everything, purse strings
Coast guard belt
If you eat chili powder hard, you die

»"
pyeongchang-1122,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gw/pyeongchang/pyeongchang-1122.mp3,"The jackal with a missing front tooth  
The wildcat with a missing back tooth  
Going backwards  
Gets caught on the pumpkin vine  
Flapping around

“We were supposed to meet. Ah—seeing the kids’ missing front teeth, that’s how we were”

The jackal with a missing front tooth  
The wildcat with a missing back tooth  
Going backwards  
Gets caught on the pumpkin vine  
Flapping around

“We were supposed to meet”

The jackal with a missing front tooth  
The wildcat with a missing back tooth  
Going backwards  
Flapping around

The jackal with a missing front tooth  
The wildcat with a missing back tooth  
Going backwards  
Gets caught on the pumpkin vine  
Flapping around"
uljin-0134,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/uljin/uljin-0134.mp3,"This street, that street  
(Lyrics not transcribed)

-Re-recording  
-Live sound  
-Supplement"
sangju-1054,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/gb/sangju/sangju-1054.mp3,"Heh heh, Jang Seobang  
Where is your house?  
If you want to find my house,  
Go over the hills one or two times,  
Solbuduk is my home."
jangheung-0511,Entertainment_children,Entertainment,children,http://urisori.co.kr/sound/origin/jn/jangheung/jangheung-0511.mp3,"Giyeok Nieun Di-eug Nieun  
Building a house as a local person  
Jigeut jigeuti lived  
But without you, I cannot live  

Gai-gya geoi-gyeo  
My beloved left without a reason  
She left without a reason  

Goi-gyo gui-gyu  
Our husband who endured hardships  
Left without a word  

Nanya neonyeo  
Brushing pine needles on my back  
Let's go tour the eight provinces and mountains  

Nonyo nunyu  
Let's go, let's go, play while young  
When old, I won’t be able to play  

Rarya ryeoryeo  
Mandarin ducks flying  
Let’s pair up, you and I  

Roryo ruryu  
In the clear stream flowing  
Everywhere has a courtyard  

Mai-mya meo-im-ya  
Even if I keep saying “again, again”  
Thoughts of you come naturally  

Moi-myo mu-i-myu  
How lonely and difficult it is  
My dear husband, how lonely it is  

Bai-bya beo-i-byeo  
I prepared rice to eat  
But without you, I cannot eat  

Boi-byo bui-byu  
I want to see you, I want to see you  
I want to see your face  

Sasya seosyeo  
On the way to the Sasa royal procession  
The road seems endless  

Sosyo sushu  
Crying in the cold wind among the yellow autumn leaves  
Oh, truant birds  
Let’s pair up, you and I  

Aya eoye  
When I embraced you tightly  
Your hand slipped away mercilessly  

Oyo uyu  
My beloved, who left  
Never comes again  

Jaja jeojyeo  
The beloved I met little by little  
Never comes back  

Jojo juju  
The beloved husband is my husband  
Where could he have gone?  

Chacha cheocheo  
I would rather die  
Than endure such pain  

Chocho chuchu  
Deeply asleep in early morning  
Woken by the sound of a crane  

That crane sound is gone  
What I hear instead is the sound of flowing water  

Kakya keokyeo  
I want to go, I want to go  
I want to go to you, my beloved  

Koi-kyo kui-gyu  
Who would understand this endless sorrow?  

Tatyah teotyeo  
With all these enemies, in this harsh world  
Who would I live for, if not you?  

Roryo ruryu  
May the earth spirit be moved  
So I can see you  

Pai-pya peo-ipyeo  
I want to see, I want to see  
I want to see your face  

Poi-pyo pui-pyu  
If I drowned in the water flowing like a waterfall  
I wouldn’t have to endure this pain  

Ha-ha heohyeo  
My heart, heavy with sorrow  
Could not last even three days  
Thoughts of you come anew  

>"
